FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES248A,75,CDD_MotAgArbn_MotCtrl.c,SigAvlChkRev,77,I,""
ES248A,74,CDD_MotAgArbn_MotCtrl.c,SigAvlChkRev,70,I,""
ES248A,73,CDD_MotAgArbn_MotCtrl.c,SigAvlChkRev,83,I,""
ES248A,14,CDD_MotAgArbn_MotCtrl.c,SigAvlChkRev,83,I,""
ES248A,72,CDD_MotAgArbn_MotCtrl.c,SigAvlChkRev,83,I,""
