FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CM300A,77,CDD_Adc0CfgAndUse_MotCtrl.c,N/A,40-64,I,""
CM300A,75,CDD_Adc0CfgAndUse_MotCtrl.c,N/A,40-64,I,""
CM300A,94,CDD_Adc0CfgAndUse_MotCtrl.c,N/A,40-64,I,""
CM300A,84,CDD_Adc0CfgAndUse.c,Adc0CfgAndUseInit1,176,I,""
