FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CM460A,95,CDD_Tauj1CfgAndUse.c,Tauj1CfgAndUsePer1,206-225,I,""
CM460A,87,CDD_Tauj1CfgAndUse.c,Tauj1CfgAndUsePer1,184-203,I,""
CM460A,96,CDD_Tauj1CfgAndUse.c,Tauj1CfgAndUsePer1,228-247,I,""
