FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CM320A,77,CDD_Adc1CfgAndUse.c,Adc1CfgAndUsePer2,277-310,I,""
CM320A,76,CDD_Adc1CfgAndUse.c,Adc1CfgAndUseInit1,212,I,""
CM320A,75,CDD_Adc1CfgAndUse.c,Adc1CfgAndUsePer2,277-310,I,""
CM320A,93,CDD_Adc1CfgAndUse.c,Adc1CfgAndUsePer2,277-310,I,""
